"Day Number","Day Label","Phase","Week","Is Milestone","Practice Paper #","Practice Paper Title","Practice Paper Duration","Physics Topic","Physics Class Concept","Physics Practice Target","Physics MCQ Count","Physics Subtopics","Chemistry Topic","Chemistry Class Concept","Chemistry Practice Target","Chemistry MCQ Count","Chemistry Subtopics","Biology Topic","Biology NCERT Concept","Biology Practice Target","Biology MCQ Count","Biology Subtopics","Total MCQs Target","PYQs Target","MCQ Breakdown","Revision Primary Task","Error Book Focus","NCERT Revision","Test Session"
"1","DAY 1","1","1","NO","","","","Mathematical Tools & Vectors: Basic Differentiation & Integration","Power rule, trigonometric derivatives, definite integrals in kinematics, geometric meaning of area under curve","30 numericals on rate of change, slope analysis & graph conversions","35","Mathematical Tools & Vectors: Basic Differentiation & Integration","Some Basic Concepts: Matter, SI Units & Significant Figures","Dimensional homogeneity, precision vs accuracy, scientific notation & rounding off rules","25 numericals on significant figures & dimensional consistency","30","Some Basic Concepts: Matter, SI Units & Significant Figures","The Living World: Characteristics of Life & Biodiversity","NCERT Line-by-Line: Growth, reproduction, metabolism, cellular organization, consciousness as defining property","45 line-based NCERT MCQs on defining vs non-defining features","45","The Living World: Characteristics of Life & Biodiversity","110","33","P: 35 | C: 30 | B: 45 (incl. ~33 PYQs)","Evening active recall: write down all differentiation & integration rules without looking","Log unit conversion errors & precision mistakes in Error Book","Reread Living World Section 1.1–1.2 with high-yield annotations",""
"2","DAY 2","1","1","NO","","","","Vectors: Triangle & Parallelogram Laws of Addition","Resultant magnitude formula R = √(A²+B²+2AB cosθ), direction formula, special cases (0°, 90°, 180°)","35 numericals on resultant forces and relative velocity in 1D","35","Vectors: Triangle & Parallelogram Laws of Addition","Mole Concept: Atomic Mass, Molecular Mass & Molar Mass","Gram atomic mass, Avogadro number calculations, relationship between moles, mass, and number of particles","35 numericals on calculating atoms, ions, and molecules from given grams","35","Mole Concept: Atomic Mass, Molecular Mass & Molar Mass","The Living World: Taxonomic Categories & Hierarchy","NCERT Line-by-Line: Species, Genus, Family, Order, Class, Phylum/Division, Kingdom with textbook examples","45 NCERT table questions (Man, Housefly, Mango, Wheat table memorization)","45","The Living World: Taxonomic Categories & Hierarchy","115","35","P: 35 | C: 35 | B: 45 (incl. ~35 PYQs)","Vector addition trigonometric edge cases revision","Mole calculations involving polyatomic ions in Error Book","Memorize taxonomic table 1.1 line-by-line",""
"3","DAY 3","1","1","NO","","","","Vectors: Resolution of Vectors & Dot Product (Scalar Product)","Rectangular components (Ax = A cosθ, Ay = A sinθ), dot product A·B = AB cosθ, work done & projection of vectors","35 numericals on dot product, angle between two vectors, unit vectors","35","Vectors: Resolution of Vectors & Dot Product (Scalar Product)","Mole Concept: Percentage Composition & Empirical Formulas","Calculating % of elements in compounds, finding empirical & molecular formulas from combustion data","30 step-by-step stoichiometric & empirical formula problems","30","Mole Concept: Percentage Composition & Empirical Formulas","The Living World: Taxonomical Aids & Summary Review","Herbarium, botanical gardens, museum, zoological parks, taxonomic keys (couplet & lead)","40 MCQs on taxonomic keys & historical PYQs","40","The Living World: Taxonomical Aids & Summary Review","105","32","P: 35 | C: 30 | B: 40 (incl. ~32 PYQs)","Dot product properties & perpendicular vector condition check (A·B = 0)","Empirical formula fraction rounding traps in Error Book","Full Living World NCERT summary & end-of-chapter questions review",""
"4","DAY 4","1","1","NO","","","","Vectors: Cross Product (Vector Product) & Right-Hand Rule","Magnitude |A × B| = AB sinθ, direction normal to plane, torque calculation τ = r × F, area of parallelogram","35 numericals on determinant method for cross product and torque","35","Vectors: Cross Product (Vector Product) & Right-Hand Rule","Stoichiometry & Limiting Reagent Fundamentals","Balanced chemical equations, mole-to-mole relationships, identifying limiting reagent in reaction mixtures","35 numericals on limiting reactant & theoretical yield","35","Stoichiometry & Limiting Reagent Fundamentals","Biological Classification: Five Kingdom Classification & Kingdom Monera","Whittaker Five Kingdom criteria, Archaebacteria (methanogens, halophiles, thermoacidophiles), Eubacteria, Cyanobacteria","45 line-by-line NCERT MCQs on bacteria cell wall, flagella, heterocysts","45","Biological Classification: Five Kingdom Classification & Kingdom Monera","115","35","P: 35 | C: 35 | B: 45 (incl. ~35 PYQs)","Determinant cross-product rapid calculation drills","Limiting reagent identification shortcuts in Error Book","Monera NCERT diagrams: Nostoc, dividing bacterium",""
"5","DAY 5","1","1","NO","","","","Units and Measurements: System of Units & SI Derived Units","Fundamental vs derived units, supplementary units, plane angle & solid angle, practical units (ly, AU, parsec)","30 problems on unit conversions and prefix arithmetic","30","Units and Measurements: System of Units & SI Derived Units","Stoichiometry: Concentration Terms (Molarity & Molality)","Molarity (M), Molality (m), effect of temperature, interconversion between M and m using solution density","35 numericals on molarity, molality, dilution formula (M1V1 = M2V2)","35","Stoichiometry: Concentration Terms (Molarity & Molality)","Kingdom Monera (Mycoplasma) & Kingdom Protista: Chrysophytes & Dinoflagellates","Mycoplasma characteristics, Diatoms (diatomaceous earth), golden algae, Dinoflagellates (red tides, Gonyaulax)","45 MCQs with special focus on silica cell walls and bioluminescence","45","Kingdom Monera (Mycoplasma) & Kingdom Protista: Chrysophytes & Dinoflagellates","110","33","P: 30 | C: 35 | B: 45 (incl. ~33 PYQs)","Temperature dependent vs independent concentration terms flashcards","Density-based molarity to molality conversion mistakes in Error Book","Protista pigment and flagella comparisons table reread",""
"6","DAY 6","1","1","NO","","","","Units and Measurements: Dimensional Analysis & Applications","Dimensional formulas, checking correctness of equations, deriving relationships between physical quantities","35 numericals on dimensions of G, h, μ₀, ε₀, and formula derivation","35","Units and Measurements: Dimensional Analysis & Applications","Concentration Terms: Mole Fraction, Mass %, ppm & Normality","Mole fraction sum = 1, ppm for trace pollutants, volume %, relationship between normality and molarity (N = M × n-factor)","35 problems on mole fraction and n-factor determination","35","Concentration Terms: Mole Fraction, Mass %, ppm & Normality","Kingdom Protista: Euglenoids, Slime Moulds & Protozoans","Pellicle, mixotrophic nutrition, plasmodium stage, Amoeboid, Flagellated, Ciliated, Sporozoans (Plasmodium life cycle overview)","45 line-by-line NCERT MCQs on Protozoan locomotion and nutrition","45","Kingdom Protista: Euglenoids, Slime Moulds & Protozoans","115","35","P: 35 | C: 35 | B: 45 (incl. ~35 PYQs)","Dimensional analysis limitations and constant coefficients list","n-factor determination for redox salts in Error Book","Protista NCERT diagrams and summary paragraph",""
"7","DAY 7","1","1","YES","","","","Units and Measurements: Errors, Significant Figures & Vernier/Screw Gauge","Absolute, relative & percentage errors, combination of errors in addition, multiplication, powers; least count of instruments","35 numericals on error propagation and gauge reading calculations","35","Units and Measurements: Errors, Significant Figures & Vernier/Screw Gauge","Mole Concept & Concentrations: Comprehensive PYQ Marathon","NEET 10-year PYQ walkthrough on mole concept, limiting reagent, and solution concentration problems","40 strict NEET-level PYQ speed drill under 45 minutes","40","Mole Concept & Concentrations: Comprehensive PYQ Marathon","Kingdom Fungi: Phycomycetes, Ascomycetes, Basidiomycetes & Deuteromycetes","Mycelium types, asexual/sexual spores, fruiting bodies, classes comparison (Rhizopus, Yeast, Penicillium, Agaricus, Alternaria)","50 NCERT line-by-line MCQs on fungal spore origins and karyogamy","50","Kingdom Fungi: Phycomycetes, Ascomycetes, Basidiomycetes & Deuteromycetes","125","38","P: 35 | C: 40 | B: 50 (incl. ~38 PYQs)","Week 1 Cumulative Revision: 720-minute rapid review across all Week 1 topics","Audit Week 1 Error Book: re-solve every missed numerical from Days 1 to 6","Full NCERT review of The Living World & Monera/Protista/Fungi","MILESTONE TEST 1: Class 11 Week 1 Review (Vectors, Units, Mole Concept, Living World, Fungi)"
"8","DAY 8","1","2","NO","","","","Motion in a Straight Line: Distance, Displacement, Speed & Velocity","Scalar vs vector displacement, average speed vs average velocity, instantaneous speed/velocity via calculus (v = dx/dt)","35 numericals on average speed formulas for equal distances/times","35","Motion in a Straight Line: Distance, Displacement, Speed & Velocity","Structure of Atom: Discovery of Subatomic Particles & Atomic Models","Cathode ray tube, charge-to-mass ratio (e/m), Millikan oil drop, Rutherford alpha scattering & nuclear model limitations","30 conceptual MCQs and radius of nucleus formula R = R₀ A^(1/3)","30","Structure of Atom: Discovery of Subatomic Particles & Atomic Models","Kingdom Fungi Summary, Lichens, Mycorrhiza, Viruses & Viroids","Symbiotic associations, lichens as pollution indicators, virus discovery (Ivanowsky, Beijerinck, Stanley), Prions, Viroids (Diener)","45 NCERT MCQs on infectious agents and viral genomes","45","Kingdom Fungi Summary, Lichens, Mycorrhiza, Viruses & Viroids","110","33","P: 35 | C: 30 | B: 45 (incl. ~33 PYQs)","Distance vs displacement edge cases (graphs & signs)","Nuclear radius calculation traps in Error Book","Viruses, viroids & prions NCERT comparison table",""
"9","DAY 9","1","2","NO","","","","Motion in a Straight Line: Acceleration & Kinematic Equations","Uniform acceleration, derivations of v = u+at, s = ut+½at², v² = u²+2as, displacement in nth second (Sn = u + a/2(2n-1))","35 numericals on applying kinematics equations with consistent sign convention","35","Motion in a Straight Line: Acceleration & Kinematic Equations","Structure of Atom: Electromagnetic Radiation & Planck Quantum Theory","Wave nature (c = νλ), particle nature, Planck equation E = hν = hc/λ, photoelectric effect, threshold frequency & work function","35 numericals on photoelectric equation & photon calculations","35","Structure of Atom: Electromagnetic Radiation & Planck Quantum Theory","Plant Kingdom: Algae (Chlorophyceae, Phaeophyceae, Rhodophyceae)","Pigments (chlorophyll a, b, c, d, fucoxanthin, phycoerythrin), stored food, cell wall composition, flagella number & insertion","50 NCERT MCQs on Algae table 3.1 & economic importance","50","Plant Kingdom: Algae (Chlorophyceae, Phaeophyceae, Rhodophyceae)","120","36","P: 35 | C: 35 | B: 50 (incl. ~36 PYQs)","Displacement in nth second numerical formulas","Photoelectric stopping potential vs frequency graph slopes in Error Book","Algae NCERT Table 3.1 verbatim memorization",""
"10","DAY 10","1","2","NO","","","","Motion in a Straight Line: Motion Under Gravity (Free Fall)","Symmetric upward/downward motion, time of ascent = time of descent = u/g, maximum height H = u²/2g, reaction time concept","35 numericals on ball dropped vs thrown upward from towers","35","Motion in a Straight Line: Motion Under Gravity (Free Fall)","Structure of Atom: Bohr Model of Hydrogen Atom & Line Spectrum","Postulates, quantization of angular momentum (mvr = nh/2π), radii of orbits (rn = 0.529 n²/Z Å), energy levels (En = -13.6 Z²/n² eV)","35 numericals on Rydberg formula, Lyman, Balmer, Paschen series limits","35","Structure of Atom: Bohr Model of Hydrogen Atom & Line Spectrum","Plant Kingdom: Bryophytes (Liverworts & Mosses)","Amphibians of plant kingdom, thallus structure, rhizoids, gemma cups, dominant gametophyte vs dependent sporophyte, Sphagnum peat","45 line-by-line NCERT MCQs on Marchantia and Funaria life cycle","45","Plant Kingdom: Bryophytes (Liverworts & Mosses)","115","35","P: 35 | C: 35 | B: 45 (incl. ~35 PYQs)","Ball thrown from tower relative kinematics sign conventions","Spectral lines count formula n(n-1)/2 traps in Error Book","Bryophyte life cycle stages & diagram labeling",""
